id	title	startYear	genres	principals
tt0087003	Broadway Danny Rose	1984	Comedy	nm0000095,nm0001201,nm0287173,nm0056310
tt0087015	C.H.U.D.	1984	Horror,Sci-Fi	nm0001334,nm0827663,nm0193061,nm0002114,nm0154877
tt0087032	Cannonball Run II	1984	Action,Comedy	nm0000608,nm0001123,nm0001509,nm0002035,nm0624102,nm0000835
tt0087050	Children of the Corn	1984	Horror,Thriller	nm0005022,nm0000157,nm0035866,nm0291463,nm0452607
tt0087075	The Company of Wolves	1984	Drama,Fantasy,Horror	nm0666395,nm0001450,nm0001831,nm0189561,nm0001403
tt0087078	Conan the Destroyer	1984	Action,Adventure,Fantasy	nm0000216,nm0005063,nm0001882,nm0150219,nm0281507
tt0087089	The Cotton Club	1984	Crime,Drama,Music	nm0000152,nm0002138,nm0000178,nm0571188,nm0000338
tt0087175	Dreamscape	1984	Action,Adventure,Horror	nm0000598,nm0001884,nm0001626,nm0000734,nm0747849
tt0087182	Dune	1984	Action,Adventure,Sci-Fi	nm0001492,nm0000515,nm0000768,nm0162361,nm0000186
tt0087231	The Falcon and The Snowman	1985	Biography,Crime,Drama	nm0000459,nm0000576,nm0385757,nm0887696,nm0772259
tt0087233	Falling in Love	1984	Drama,Romance	nm0000134,nm0000658,nm0000172,nm0434223,nm0343260
tt0087262	Firestarter	1984	Action,Horror,Sci-Fi	nm0000106,nm0001418,nm0428086,nm0000181,nm0504495
tt0087277	Footloose	1984	Drama,Music,Romance	nm0000102,nm0001742,nm0001475,nm0001848,nm0006889
tt0087332	Ghostbusters	1984	Action,Comedy,Fantasy	nm0000195,nm0000101,nm0000244,nm0000601,nm0718645
tt0087363	Gremlins	1984	Comedy,Fantasy,Horror	nm0002090,nm0000121,nm0001924,nm0521829,nm0001102
tt0087451	The Ice Pirates	1984	Action,Adventure,Comedy	nm0001810,nm0002026,nm0731426,nm0001378,nm0706296
tt0087469	Indiana Jones and the Temple of Doom	1984	Action,Adventure	nm0000148,nm0001009,nm0702841,nm0700869,nm0000229
tt0087507	Johnny Dangerously	1984	Comedy,Crime	nm0000474,nm0685472,nm0000447,nm0822972,nm0002132
tt0087538	The Karate Kid	1984	Action,Drama,Family	nm0001494,nm0001552,nm0000223,nm0184392,nm0000814
tt0087553	The Killing Fields	1984	Biography,Drama,History	nm0001832,nm0628955,nm0000518,nm0001696,nm0423646
tt0087578	Wheels on Meals	1984	Action,Comedy,Crime	nm0000329,nm0950707,nm0005033,nm0882054
tt0087597	The Last Starfighter	1984	Action,Adventure,Sci-Fi	nm0346411,nm0696481,nm0476484,nm0556660,nm0145309
tt0087727	Missing in Action	1984	Action,Adventure,Drama	nm0001569,nm0001826,nm0872261,nm0440466,nm0957263
tt0087747	Moscow on the Hudson	1984	Comedy,Drama,Romance	nm0000245,nm0000744,nm0220598,nm0721031,nm0005196
tt0087755	The Muppets Take Manhattan	1984	Adventure,Comedy,Drama	nm0001345,nm0000568,nm0324397,nm0926209
tt0087781	The Natural	1984	Drama,Sport	nm0000602,nm0000380,nm0000335,nm0000107,nm0001469
tt0087799	Night of the Comet	1984	Comedy,Horror,Sci-Fi	nm0829252,nm0549526,nm0000296,nm0268331,nm0248054
tt0087800	A Nightmare on Elm Street	1984	Horror	nm0000486,nm0000136,nm0000387,nm0768334,nm0000127
tt0087843	Once Upon a Time in America	1984	Crime,Drama	nm0000134,nm0000249,nm0001527,nm0001852,nm0001466
tt0087884	Paris, Texas	1984	Drama	nm0001765,nm0000176,nm0001777,nm0077669,nm0000694
tt0087892	A Passage to India	1984	Adventure,Drama,History	nm0001114,nm0051856,nm0001919,nm0289038,nm0000180
tt0087909	Phenomena	1985	Crime,Horror,Mystery	nm0000124,nm0000587,nm0630453,nm0034485,nm0000783
tt0087910	The Philadelphia Experiment	1984	Adventure,Drama,Romance	nm0001595,nm0000262,nm0160452,nm0223738,nm0706296
